"","Soil.Order","Great.Group","Subgroup","Series","Horizon","Qmax.mg.kg","k.L.mg","Clay.per","Fed.g.kg","pH","OC.mg.kg","X","Database","County..State","Latitude","Longitude","Dataset","Alo.g.kg","Ald.g.kg","Alp.g.kg","Feo.g.kg","Fep.g.kg","Caex.cmol.kg","Silt.per","Sand.per","MAT.C","MAP.mm","Elevation.m","Replicate","Depth.cm","BD.g.cm3","L.kg","Source.qmax","Source.k"
"229","Mollisol","Argiudolls",NA,"Pawnee","Bk1",1305,0.01,32.8,22,7.7,1803,42,"NRCS","Lancaster, NB",40.6959724,-96.8552246,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"230","Mollisol","Argiudolls",NA,"Pawnee","Bk2",1905,0.009,29.7,16,7.7,1811,42,"NRCS","Lancaster, NB",40.6959724,-96.8552246,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"231","Mollisol","Argiudolls",NA,"Pawnee",NA,109.693884882961,0.118294555182226,30,16,7.7,NA,42,"NRCS","Lancaster, NB",40.6959724,-96.8552246,"Jagadamma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Fitted","Fitted"
"232","Entisol","Udipsamments",NA,"Plainfield","Bw",691,0.021,3.5,2.1,5.6,1723,35,"CSiTE","Peoria, IL",44.1180573,-89.5463867,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"233","Entisol","Udipsamments",NA,"Plainfield","1BC",625,0.024,1.2,1.5,5,1588,35,"CSiTE","Peoria, IL",44.1180573,-89.5463867,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"234","Entisol","Udipsamments",NA,"Plainfield","C",111,0.084,0.9,1.6,5.3,1607,35,"CSiTE","Peoria, IL",44.1180573,-89.5463867,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"235","Spodosol",NA,NA,NA,"Ae",32.2711453471953,0.0642719476124565,14.37276,5.34,3.632,29082.57,NA,NA,NA,45.11,-78.5,"Kothawala",0.954,0.612,0.662,2.264,1.536,1.61386,35.21443,50.41281,NA,NA,NA,"1",NA,NA,10,"Fitted","Fitted"
"236","Spodosol",NA,NA,NA,"Bf",594.591919439238,0.0989111342229885,9.49984,23.66,4.298,45242.06,NA,NA,NA,45.11,-78.5,"Kothawala",15.392,15.53,10.32,15.912,5.424,0.3634,13.70151,76.79865,NA,NA,NA,"1",NA,NA,10,"Fitted","Fitted"
"237","Spodosol",NA,NA,NA,"Bf",1162,0.0318,8.82019,11.96,4.374,36805.77,NA,NA,NA,45.11,-78.5,"Kothawala",17.312,14.53167,7.60533,8.32,2.5,0.20148,28.5519,62.62791,NA,NA,NA,"1",NA,NA,10,"Reported","Reported"
"238","Spodosol",NA,NA,NA,"Ae",68.9314965339831,NA,8.71592,4.45,3.785,20651.6,NA,NA,NA,45.59,-74.01,"Kothawala",2.05,1.309,1.486,2.428,1.944,0.82785,49.84852,41.43556,3.9,1150,"400","1",NA,NA,10,"Fitted","Fitted"
"239","Spodosol",NA,NA,NA,"Bf",754,0.0917,9.47315,0.466,4.141,37480.58,NA,NA,NA,45.59,-74.01,"Kothawala",11.26,10.215,9.466,11.648,8.148,0.59865,42.52786,47.99899,3.9,1150,"400","1",NA,NA,10,"Reported","Reported"
"240","Spodosol",NA,NA,NA,NA,1267,NA,NA,NA,NA,0,NA,NA,NA,45.59,-74.01,"Kothawala",NA,NA,0,NA,NA,NA,NA,NA,3.9,1150,"400","NA",NA,NA,10,"Reported","Fitted"
"241","Spodosol",NA,NA,NA,"Bfh",4913,0.1031,16.57157,0.511,4.365,71790.91,NA,NA,NA,45.59,-74.01,"Kothawala",37.888,29.335,12.04,19.656,12.168,0.61273,15.30638,68.12205,3.9,1150,"400","1",NA,NA,10,"Reported","Reported"
"242","Spodosol",NA,NA,NA,"Bfh",288,0.1626,NA,28.6,4.116,84750.61,NA,NA,NA,45.59,-74.01,"Kothawala",26.98,18.47833,16.41,26.312,18.876,1.57871,NA,NA,3.9,1150,"400","1",NA,NA,10,"Reported","Reported"
"243","Spodosol",NA,NA,NA,"C",754,0.1101,5.85308,3.485,4.689,2649.78,NA,NA,NA,45.59,-74.01,"Kothawala",4.668,1.926,1.465,1.20267,0.302,0.12722,12.67171,81.47521,3.9,1150,"400","1",NA,NA,10,"Reported","Reported"
"244","Spodosol",NA,NA,NA,"Bfh",921,0.0252,10.40098,22.62,3.678,60998.73,NA,NA,NA,47.17,-71.14,"Kothawala",7.912,8.83,8.986,16.224,14.82,0.40391,15.42898,74.17005,-0.6,NA,"800","1",NA,NA,10,"Reported","Reported"
"245","Spodosol",NA,NA,NA,"Bfh",1372,0.2546,8.55702,19.63,4.137,64142.48,NA,NA,NA,47.17,-71.14,"Kothawala",18.144,16.62,12.294,16.848,26.208,0.33502,16.19595,75.24703,-0.6,NA,"800","1",NA,NA,10,"Reported","Reported"
"246","Spodosol",NA,NA,NA,"Ahe",78,0.1983,6.60715,0.405,NA,6784.96,NA,NA,NA,49.12,-73.29,"Kothawala",0.3196,0.1725,NA,0.2064,0,0.01491,7.98229,85.41057,0,817,"400","1",NA,NA,10,"Reported","Reported"
"247","Spodosol",NA,NA,NA,"Bm",629,0.0482,6.34195,5.48,4.746,8177.53,NA,NA,NA,49.12,-73.29,"Kothawala",12.14,3.935,1.815,4.468,0.634,0.02993,5.3783,88.27975,0,817,"400","1",NA,NA,10,"Reported","Reported"
"248","Spodosol",NA,NA,NA,"Bm",940,0.0476,5.96579,6.43,5.25,7272.89,NA,NA,NA,49.12,-73.29,"Kothawala",17.284,4.155,2.035,5.848,0.306,0.00997,8.48068,85.55353,0,817,"400","1",NA,NA,10,"Reported","Reported"
"249","Spodosol",NA,NA,NA,"C",381,0.2731,4.24519,2.015,4.9,3066.86,NA,NA,NA,49.12,-73.29,"Kothawala",4.52,1.044,0.531,1.876,0.216,0.04968,0,96.24083,0,817,"400","1",NA,NA,10,"Reported","Reported"
"250","Mollisol","Paleustolls",NA,"Pullman","Bt1",771,0.024,45.2,9,7.2,5947,40,NA,NA,34.9,-102.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"251","Mollisol","Paleustolls",NA,"Pullman","Btk1",797,0.012,42.5,9,7.7,4653,40,NA,NA,34.9,-102.6,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
